ds,y,ticker,name
2021-08-09,854.017578125,HCLTECH.NS,HCL Technologies
2021-08-10,864.7073364257812,HCLTECH.NS,HCL Technologies
2021-08-11,867.3494262695312,HCLTECH.NS,HCL Technologies
2021-08-12,891.371337890625,HCLTECH.NS,HCL Technologies
2021-08-13,910.02783203125,HCLTECH.NS,HCL Technologies
2021-08-16,913.442138671875,HCLTECH.NS,HCL Technologies
2021-08-17,929.1315307617188,HCLTECH.NS,HCL Technologies
2021-08-18,922.0593872070312,HCLTECH.NS,HCL Technologies
2021-08-20,908.32080078125,HCLTECH.NS,HCL Technologies
2021-08-23,945.5121459960938,HCLTECH.NS,HCL Technologies
2021-08-24,937.2202758789062,HCLTECH.NS,HCL Technologies
2021-08-25,938.3989868164062,HCLTECH.NS,HCL Technologies
2021-08-26,949.0482788085938,HCLTECH.NS,HCL Technologies
2021-08-27,945.3899536132812,HCLTECH.NS,HCL Technologies
2021-08-30,945.7559204101562,HCLTECH.NS,HCL Technologies
2021-08-31,961.120361328125,HCLTECH.NS,HCL Technologies
2021-09-01,946.7723388671875,HCLTECH.NS,HCL Technologies
2021-09-02,953.3570556640625,HCLTECH.NS,HCL Technologies
2021-09-03,954.9825439453125,HCLTECH.NS,HCL Technologies
2021-09-06,975.6307983398438,HCLTECH.NS,HCL Technologies
2021-09-07,961.0390625,HCLTECH.NS,HCL Technologies
2021-09-08,966.4041748046875,HCLTECH.NS,HCL Technologies
2021-09-09,974.3303833007812,HCLTECH.NS,HCL Technologies
2021-09-13,982.3377075195312,HCLTECH.NS,HCL Technologies
2021-09-14,1006.9287109375,HCLTECH.NS,HCL Technologies
2021-09-15,1035.0557861328125,HCLTECH.NS,HCL Technologies
2021-09-16,1026.804443359375,HCLTECH.NS,HCL Technologies
2021-09-17,1026.966796875,HCLTECH.NS,HCL Technologies
2021-09-20,1037.4132080078125,HCLTECH.NS,HCL Technologies
2021-09-21,1056.3951416015625,HCLTECH.NS,HCL Technologies
2021-09-22,1069.40185546875,HCLTECH.NS,HCL Technologies
2021-09-23,1079.8072509765625,HCLTECH.NS,HCL Technologies
2021-09-24,1104.113525390625,HCLTECH.NS,HCL Technologies
2021-09-27,1052.8992919921875,HCLTECH.NS,HCL Technologies
2021-09-28,1031.6007080078125,HCLTECH.NS,HCL Technologies
2021-09-29,1041.518310546875,HCLTECH.NS,HCL Technologies
2021-09-30,1040.1771240234375,HCLTECH.NS,HCL Technologies
2021-10-01,1035.462158203125,HCLTECH.NS,HCL Technologies
2021-10-04,1039.445556640625,HCLTECH.NS,HCL Technologies
2021-10-05,1060.9881591796875,HCLTECH.NS,HCL Technologies
2021-10-06,1036.84375,HCLTECH.NS,HCL Technologies
2021-10-07,1061.9228515625,HCLTECH.NS,HCL Technologies
2021-10-08,1074.8076171875,HCLTECH.NS,HCL Technologies
2021-10-11,1059.158935546875,HCLTECH.NS,HCL Technologies
2021-10-12,1016.4398193359375,HCLTECH.NS,HCL Technologies
2021-10-13,1028.633544921875,HCLTECH.NS,HCL Technologies
2021-10-14,1017.090087890625,HCLTECH.NS,HCL Technologies
2021-10-18,992.905517578125,HCLTECH.NS,HCL Technologies
2021-10-19,1001.6039428710938,HCLTECH.NS,HCL Technologies
2021-10-20,1002.2542724609375,HCLTECH.NS,HCL Technologies
2021-10-21,992.2552490234375,HCLTECH.NS,HCL Technologies
2021-10-22,978.568603515625,HCLTECH.NS,HCL Technologies
2021-10-25,955.12890625,HCLTECH.NS,HCL Technologies
2021-10-26,956.2761840820312,HCLTECH.NS,HCL Technologies
2021-10-27,964.7589721679688,HCLTECH.NS,HCL Technologies
2021-10-28,944.146484375,HCLTECH.NS,HCL Technologies
2021-10-29,937.3849487304688,HCLTECH.NS,HCL Technologies
