ds,y,ticker,name
2021-06-09,701.0521240234375,HDFCBANK.NS,HDFC Bank
2021-06-10,701.4072875976562,HDFCBANK.NS,HDFC Bank
2021-06-11,703.9172973632812,HDFCBANK.NS,HDFC Bank
2021-06-14,700.6494750976562,HDFCBANK.NS,HDFC Bank
2021-06-15,705.7642822265625,HDFCBANK.NS,HDFC Bank
2021-06-16,703.0884399414062,HDFCBANK.NS,HDFC Bank
2021-06-17,694.3271484375,HDFCBANK.NS,HDFC Bank
2021-06-18,700.8153076171875,HDFCBANK.NS,HDFC Bank
2021-06-21,705.0301513671875,HDFCBANK.NS,HDFC Bank
2021-06-22,702.7095336914062,HDFCBANK.NS,HDFC Bank
2021-06-23,703.5147094726562,HDFCBANK.NS,HDFC Bank
2021-06-24,713.3416748046875,HDFCBANK.NS,HDFC Bank
2021-06-25,717.532958984375,HDFCBANK.NS,HDFC Bank
2021-06-28,714.336181640625,HDFCBANK.NS,HDFC Bank
2021-06-29,714.4313354492188,HDFCBANK.NS,HDFC Bank
2021-06-30,712.4573974609375,HDFCBANK.NS,HDFC Bank
2021-07-01,707.154052734375,HDFCBANK.NS,HDFC Bank
2021-07-02,704.1338500976562,HDFCBANK.NS,HDFC Bank
2021-07-05,711.2920532226562,HDFCBANK.NS,HDFC Bank
2021-07-06,729.9608764648438,HDFCBANK.NS,HDFC Bank
2021-07-07,732.243896484375,HDFCBANK.NS,HDFC Bank
2021-07-08,723.1830444335938,HDFCBANK.NS,HDFC Bank
2021-07-09,714.4075317382812,HDFCBANK.NS,HDFC Bank
2021-07-12,707.27294921875,HDFCBANK.NS,HDFC Bank
2021-07-13,714.336181640625,HDFCBANK.NS,HDFC Bank
2021-07-14,713.0519409179688,HDFCBANK.NS,HDFC Bank
2021-07-15,723.3019409179688,HDFCBANK.NS,HDFC Bank
2021-07-16,724.0867919921875,HDFCBANK.NS,HDFC Bank
2021-07-19,699.6627807617188,HDFCBANK.NS,HDFC Bank
2021-07-20,686.416259765625,HDFCBANK.NS,HDFC Bank
2021-07-22,689.0560302734375,HDFCBANK.NS,HDFC Bank
2021-07-23,686.2260131835938,HDFCBANK.NS,HDFC Bank
2021-07-26,682.3258056640625,HDFCBANK.NS,HDFC Bank
2021-07-27,684.7990112304688,HDFCBANK.NS,HDFC Bank
2021-07-28,674.1210327148438,HDFCBANK.NS,HDFC Bank
2021-07-29,674.5728759765625,HDFCBANK.NS,HDFC Bank
2021-07-30,678.4730834960938,HDFCBANK.NS,HDFC Bank
2021-08-02,676.6657104492188,HDFCBANK.NS,HDFC Bank
2021-08-03,682.3970947265625,HDFCBANK.NS,HDFC Bank
2021-08-04,696.95166015625,HDFCBANK.NS,HDFC Bank
2021-08-05,706.2503051757812,HDFCBANK.NS,HDFC Bank
2021-08-06,709.9603271484375,HDFCBANK.NS,HDFC Bank
2021-08-09,715.311279296875,HDFCBANK.NS,HDFC Bank
2021-08-10,717.0949096679688,HDFCBANK.NS,HDFC Bank
2021-08-11,711.0542602539062,HDFCBANK.NS,HDFC Bank
2021-08-12,714.1221923828125,HDFCBANK.NS,HDFC Bank
2021-08-13,725.91796875,HDFCBANK.NS,HDFC Bank
2021-08-16,728.0107421875,HDFCBANK.NS,HDFC Bank
