ds,y,ticker,name
2021-05-31,1240.186279296875,INFY.NS,Infosys
2021-06-01,1234.35791015625,INFY.NS,Infosys
2021-06-02,1226.750244140625,INFY.NS,Infosys
2021-06-03,1236.5380859375,INFY.NS,Infosys
2021-06-04,1232.9788818359375,INFY.NS,Infosys
2021-06-07,1236.5380859375,INFY.NS,Infosys
2021-06-08,1257.2708740234375,INFY.NS,Infosys
2021-06-09,1259.362060546875,INFY.NS,Infosys
2021-06-10,1267.3702392578125,INFY.NS,Infosys
2021-06-11,1287.4803466796875,INFY.NS,Infosys
2021-06-14,1300.7386474609375,INFY.NS,Infosys
2021-06-15,1311.5054931640625,INFY.NS,Infosys
2021-06-16,1317.467041015625,INFY.NS,Infosys
2021-06-17,1330.547607421875,INFY.NS,Infosys
2021-06-18,1337.6661376953125,INFY.NS,Infosys
2021-06-21,1334.99658203125,INFY.NS,Infosys
2021-06-22,1345.274169921875,INFY.NS,Infosys
2021-06-23,1337.53271484375,INFY.NS,Infosys
2021-06-24,1387.4071044921875,INFY.NS,Infosys
2021-06-25,1400.75439453125,INFY.NS,Infosys
2021-06-28,1398.6190185546875,INFY.NS,Infosys
2021-06-29,1390.832763671875,INFY.NS,Infosys
2021-06-30,1406.627197265625,INFY.NS,Infosys
2021-07-01,1388.4749755859375,INFY.NS,Infosys
2021-07-02,1395.059814453125,INFY.NS,Infosys
2021-07-05,1404.98095703125,INFY.NS,Infosys
2021-07-06,1390.076416015625,INFY.NS,Infosys
2021-07-07,1392.212158203125,INFY.NS,Infosys
2021-07-08,1388.7861328125,INFY.NS,Infosys
2021-07-09,1390.6993408203125,INFY.NS,Infosys
2021-07-12,1377.3076171875,INFY.NS,Infosys
2021-07-13,1374.7271728515625,INFY.NS,Infosys
2021-07-14,1403.156982421875,INFY.NS,Infosys
2021-07-15,1406.627197265625,INFY.NS,Infosys
2021-07-16,1384.0699462890625,INFY.NS,Infosys
2021-07-19,1371.835205078125,INFY.NS,Infosys
2021-07-20,1379.265380859375,INFY.NS,Infosys
2021-07-22,1414.991455078125,INFY.NS,Infosys
2021-07-23,1415.2138671875,INFY.NS,Infosys
2021-07-26,1427.18212890625,INFY.NS,Infosys
2021-07-27,1425.9808349609375,INFY.NS,Infosys
2021-07-28,1428.694580078125,INFY.NS,Infosys
2021-07-29,1438.8387451171875,INFY.NS,Infosys
2021-07-30,1433.0546875,INFY.NS,Infosys
2021-08-02,1451.785400390625,INFY.NS,Infosys
2021-08-03,1472.82958984375,INFY.NS,Infosys
2021-08-04,1467.535400390625,INFY.NS,Infosys
2021-08-05,1471.3619384765625,INFY.NS,Infosys
2021-08-06,1468.380615234375,INFY.NS,Infosys
2021-08-09,1480.037353515625,INFY.NS,Infosys
2021-08-10,1492.450439453125,INFY.NS,Infosys
2021-08-11,1492.71728515625,INFY.NS,Infosys
2021-08-12,1503.4395751953125,INFY.NS,Infosys
2021-08-13,1523.5494384765625,INFY.NS,Infosys
2021-08-16,1516.6087646484375,INFY.NS,Infosys
2021-08-17,1549.754638671875,INFY.NS,Infosys
2021-08-18,1542.4581298828125,INFY.NS,Infosys
2021-08-20,1542.0130615234375,INFY.NS,Infosys
2021-08-23,1547.1741943359375,INFY.NS,Infosys
