ds,y
2026-07-09,13591.5
2026-07-10,13716.2470703125
2026-07-13,13558.828125
2026-07-14,13354.8759765625
2026-07-15,13447.94140625
2026-07-16,13645.953125
2026-07-17,13665.75390625
2026-07-20,13379.6279296875
2026-07-21,13461.802734375
2026-07-22,13410.3193359375
2026-07-23,13269.7314453125
2026-07-24,13308.34375
2026-07-27,13593.48046875
2026-07-28,13664.763671875
2026-07-29,13809.3125
2026-07-30,14046.92578125
2026-07-31,14092.46875
2026-08-03,14009.3037109375
2026-08-04,14027.125
2026-08-05,14048.90625
2026-08-06,13940.0
2026-08-07,
