ds,y,ticker,name
2021-05-28,382.53729248046875,SBIN.NS,State Bank of India
2021-05-31,384.6219482421875,SBIN.NS,State Bank of India
2021-06-01,392.0542297363281,SBIN.NS,State Bank of India
2021-06-02,396.314208984375,SBIN.NS,State Bank of India
2021-06-03,402.1686096191406,SBIN.NS,State Bank of India
2021-06-04,396.6344299316406,SBIN.NS,State Bank of India
2021-06-07,395.39947509765625,SBIN.NS,State Bank of India
2021-06-08,390.780029296875,SBIN.NS,State Bank of India
2021-06-09,385.5202331542969,SBIN.NS,State Bank of India
2021-06-10,395.39947509765625,SBIN.NS,State Bank of India
2021-06-11,392.9754333496094,SBIN.NS,State Bank of India
2021-06-14,393.6614685058594,SBIN.NS,State Bank of India
2021-06-15,392.8839416503906,SBIN.NS,State Bank of India
2021-06-16,389.6365966796875,SBIN.NS,State Bank of India
2021-06-17,384.4225158691406,SBIN.NS,State Bank of India
2021-06-18,377.69915771484375,SBIN.NS,State Bank of India
2021-06-21,383.96514892578125,SBIN.NS,State Bank of India
2021-06-22,382.95892333984375,SBIN.NS,State Bank of India
2021-06-23,383.1418762207031,SBIN.NS,State Bank of India
2021-06-24,381.632568359375,SBIN.NS,State Bank of India
2021-06-25,392.2436218261719,SBIN.NS,State Bank of India
2021-06-28,390.3683776855469,SBIN.NS,State Bank of India
2021-06-29,385.56597900390625,SBIN.NS,State Bank of India
2021-06-30,383.4620666503906,SBIN.NS,State Bank of India
2021-07-01,384.5597229003906,SBIN.NS,State Bank of India
2021-07-02,388.21868896484375,SBIN.NS,State Bank of India
2021-07-05,395.765380859375,SBIN.NS,State Bank of India
2021-07-06,393.11260986328125,SBIN.NS,State Bank of India
2021-07-07,395.94830322265625,SBIN.NS,State Bank of India
2021-07-08,388.2644958496094,SBIN.NS,State Bank of India
2021-07-09,387.6241149902344,SBIN.NS,State Bank of India
2021-07-12,391.0086975097656,SBIN.NS,State Bank of India
2021-07-13,392.5180358886719,SBIN.NS,State Bank of India
2021-07-14,394.3017883300781,SBIN.NS,State Bank of India
2021-07-15,394.8963623046875,SBIN.NS,State Bank of India
2021-07-16,393.34130859375,SBIN.NS,State Bank of India
2021-07-19,391.4203186035156,SBIN.NS,State Bank of India
2021-07-20,385.0171203613281,SBIN.NS,State Bank of India
2021-07-22,386.0690612792969,SBIN.NS,State Bank of India
2021-07-23,392.3350830078125,SBIN.NS,State Bank of India
2021-07-26,387.2124938964844,SBIN.NS,State Bank of India
2021-07-27,393.29559326171875,SBIN.NS,State Bank of India
2021-07-28,389.2249450683594,SBIN.NS,State Bank of India
2021-07-29,403.9066467285156,SBIN.NS,State Bank of India
2021-07-30,394.98785400390625,SBIN.NS,State Bank of India
2021-08-02,397.82354736328125,SBIN.NS,State Bank of India
2021-08-03,408.4346008300781,SBIN.NS,State Bank of India
2021-08-04,417.9937744140625,SBIN.NS,State Bank of India
2021-08-05,404.18109130859375,SBIN.NS,State Bank of India
2021-08-06,398.5096130371094,SBIN.NS,State Bank of India
2021-08-09,396.4514465332031,SBIN.NS,State Bank of India
2021-08-10,390.09393310546875,SBIN.NS,State Bank of India
2021-08-11,391.5575256347656,SBIN.NS,State Bank of India
2021-08-12,390.7342834472656,SBIN.NS,State Bank of India
2021-08-13,394.43902587890625,SBIN.NS,State Bank of India
2021-08-16,388.63037109375,SBIN.NS,State Bank of India
2021-08-17,385.56597900390625,SBIN.NS,State Bank of India
2021-08-18,383.9194030761719,SBIN.NS,State Bank of India
2021-08-20,372.0277099609375,SBIN.NS,State Bank of India
2021-08-23,374.5889587402344,SBIN.NS,State Bank of India
2021-08-24,381.9984436035156,SBIN.NS,State Bank of India
2021-08-25,380.7635498046875,SBIN.NS,State Bank of India
2021-08-26,375.7323913574219,SBIN.NS,State Bank of India
2021-08-27,377.2875061035156,SBIN.NS,State Bank of India
2021-08-30,386.6636657714844,SBIN.NS,State Bank of India
2021-08-31,389.7280578613281,SBIN.NS,State Bank of India
2021-09-01,393.24981689453125,SBIN.NS,State Bank of India
2021-09-02,393.11260986328125,SBIN.NS,State Bank of India
2021-09-03,394.6219787597656,SBIN.NS,State Bank of India
2021-09-06,394.3017883300781,SBIN.NS,State Bank of India
2021-09-07,392.5180358886719,SBIN.NS,State Bank of India
2021-09-08,394.57623291015625,SBIN.NS,State Bank of India
2021-09-09,395.4452209472656,SBIN.NS,State Bank of India
2021-09-13,395.94830322265625,SBIN.NS,State Bank of India
2021-09-14,396.0855712890625,SBIN.NS,State Bank of India
2021-09-15,406.01055908203125,SBIN.NS,State Bank of India
2021-09-16,424.16827392578125,SBIN.NS,State Bank of India
2021-09-17,415.38671875,SBIN.NS,State Bank of India
2021-09-20,400.15618896484375,SBIN.NS,State Bank of India
2021-09-21,401.3910827636719,SBIN.NS,State Bank of India
2021-09-22,401.43682861328125,SBIN.NS,State Bank of India
2021-09-23,411.4532775878906,SBIN.NS,State Bank of India
2021-09-24,403.17486572265625,SBIN.NS,State Bank of India
2021-09-27,408.5260925292969,SBIN.NS,State Bank of India
2021-09-28,406.97100830078125,SBIN.NS,State Bank of India
2021-09-29,420.7837219238281,SBIN.NS,State Bank of India
2021-09-30,414.3804626464844,SBIN.NS,State Bank of India
2021-10-01,413.1455383300781,SBIN.NS,State Bank of India
2021-10-04,423.6651611328125,SBIN.NS,State Bank of India
2021-10-05,425.0830078125,SBIN.NS,State Bank of India
2021-10-06,418.22247314453125,SBIN.NS,State Bank of India
2021-10-07,418.86273193359375,SBIN.NS,State Bank of India
2021-10-08,418.9542236328125,SBIN.NS,State Bank of India
2021-10-11,429.2451477050781,SBIN.NS,State Bank of India
2021-10-12,441.8229064941406,SBIN.NS,State Bank of India
2021-10-13,440.6337585449219,SBIN.NS,State Bank of India
2021-10-14,448.7750244140625,SBIN.NS,State Bank of India
2021-10-18,455.4984130859375,SBIN.NS,State Bank of India
2021-10-19,446.5796203613281,SBIN.NS,State Bank of India
2021-10-20,457.2821350097656,SBIN.NS,State Bank of India
2021-10-21,460.0721130371094,SBIN.NS,State Bank of India
2021-10-22,460.0721130371094,SBIN.NS,State Bank of India
2021-10-25,463.3194580078125,SBIN.NS,State Bank of India
2021-10-26,468.8536682128906,SBIN.NS,State Bank of India
2021-10-27,474.89105224609375,SBIN.NS,State Bank of India
2021-10-28,458.6085205078125,SBIN.NS,State Bank of India
2021-10-29,459.3403015136719,SBIN.NS,State Bank of India
2021-11-01,471.73516845703125,SBIN.NS,State Bank of India
2021-11-02,477.2236328125,SBIN.NS,State Bank of India
2021-11-03,482.6664123535156,SBIN.NS,State Bank of India
2021-11-04,485.2276916503906,SBIN.NS,State Bank of India
2021-11-08,478.6415100097656,SBIN.NS,State Bank of India
2021-11-09,484.03851318359375,SBIN.NS,State Bank of India
2021-11-10,479.6934814453125,SBIN.NS,State Bank of India
2021-11-11,466.1551818847656,SBIN.NS,State Bank of India
2021-11-12,467.7559814453125,SBIN.NS,State Bank of India
2021-11-15,463.3652038574219,SBIN.NS,State Bank of India
2021-11-16,452.891357421875,SBIN.NS,State Bank of India
2021-11-17,455.68133544921875,SBIN.NS,State Bank of India
2021-11-18,460.8496398925781,SBIN.NS,State Bank of India
2021-11-22,444.9330139160156,SBIN.NS,State Bank of India
2021-11-23,451.01611328125,SBIN.NS,State Bank of India
